model,K,topN,normalize,div_mode,anchor_L,rel_mode,w_rel,w_novelty,w_longtail,w_div,Recall@10,NDCG@10,Coverage@10,LongTailShare@10,Novelty@10,AvgPopularity@10,seconds
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.30000000000000004,0.0,0.06341059602649006,0.03226190311537881,0.3783054506206152,0.022019867549668875,9.566091910624346,1549.4729966887417,0.3804614543914795
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.27,0.0,0.06291390728476821,0.03199211138594402,0.3812736103615758,0.0223841059602649,9.582458072119202,1535.0721026490066,0.3738398551940918
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.25,0.0,0.06274834437086092,0.031967677855608403,0.3812736103615758,0.022417218543046357,9.591845125725728,1526.3478973509934,0.37574100494384766
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.22000000000000008,0.0,0.06258278145695365,0.03195025568282014,0.3820831084727469,0.022864238410596028,9.607813845659724,1512.4611423841059,0.4002223014831543
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.27,0.03,0.06357615894039735,0.03229225956089881,0.3664328116567728,0.01935430463576159,9.543044477551188,1564.6425496688742,5.388666868209839
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.24,0.03,0.06357615894039735,0.03229279263732495,0.3696708041014571,0.019834437086092716,9.558376947286114,1550.9615066225165,6.207632303237915
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.21999999999999997,0.03,0.06291390728476821,0.032045179344120704,0.37317862924986506,0.020182119205298013,9.569370854279853,1541.3401490066226,4.900424242019653
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.19000000000000006,0.03,0.06307947019867549,0.03205425568172103,0.3745277927684835,0.02043046357615894,9.584321095343457,1528.1958774834436,5.162693738937378
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.25,0.05,0.06291390728476821,0.03209069352680328,0.3602266594711279,0.01793046357615894,9.5288244323541,1574.4960264900662,5.286622762680054
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.21999999999999997,0.05,0.06274834437086092,0.03206976300793555,0.3667026443604965,0.018493377483443707,9.544945216605205,1560.2508112582782,6.117748022079468
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.19999999999999996,0.05,0.06291390728476821,0.03209786704533198,0.3683216405828386,0.018956953642384106,9.55537004682402,1551.3972682119206,6.164657831192017
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.17000000000000004,0.05,0.06225165562913907,0.03180943852233471,0.3696708041014571,0.019288079470198675,9.571417800117013,1537.0389735099338,6.311455249786377
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.0,0.22000000000000008,0.08,0.06258278145695365,0.03199073533407751,0.35590933621154885,0.016059602649006622,9.510233130723435,1587.7862417218544,6.1321117877960205
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.03,0.19000000000000006,0.08,0.06307947019867549,0.032159247368334164,0.3599568267674042,0.01675496688741722,9.526350563346156,1573.892715231788,5.918119668960571
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.05,0.17000000000000004,0.08,0.06291390728476821,0.032135138738926,0.36211548839719376,0.017119205298013244,9.536891657264027,1564.7838410596025,6.145936012268066
LightGCN-Rerank,10,200,minmax,max,0,raw,0.7,0.08,0.14000000000000012,0.08,0.06291390728476821,0.032129227113723596,0.365353480841878,0.01763245033112583,9.552004963593767,1551.2533609271522,5.773974418640137
LightGCN-Rerank,10,200,minmax,max,0,raw,0.8,0.0,0.19999999999999996,0.0,0.06456953642384106,0.03254031963167171,0.34511602806260117,0.014403973509933774,9.488726779167227,1604.2257119205299,0.3849070072174072
