model,K,topN,w_rel,w_div,w_novel,w_tail,cold_boost,hist_ref,val_Recall,val_NDCG,val_Coverage,val_LongTailShare,val_Novelty,seconds_val
HybridNCF-Rerank,10,200,0.7,0.0,0.0,0.30000000000000004,2.0,50,0.03129139072847682,0.015601814640971127,0.1797085806799784,0.3706953642384106,10.344068976592377,37.25044131278992
HybridNCF-Rerank,10,200,0.7,0.0,0.03,0.27,2.0,50,0.03145695364238411,0.01591809298006201,0.1864543982730707,0.34741721854304636,10.30327545289848,38.55663013458252
HybridNCF-Rerank,10,200,0.7,0.0,0.05,0.25000000000000006,2.0,50,0.031125827814569535,0.015890186546114335,0.19050188882892607,0.3312086092715232,10.27669151805108,40.16938638687134
HybridNCF-Rerank,10,200,0.7,0.0,0.08,0.22000000000000003,2.0,50,0.03145695364238411,0.016124259774279753,0.19320021586616298,0.3067549668874172,10.239865159071448,39.50776934623718
HybridNCF-Rerank,10,200,0.7,0.03,0.0,0.27,2.0,50,0.03195364238410596,0.016384740968831628,0.182676740420939,0.31756622516556293,10.196414629348373,38.23647451400757
HybridNCF-Rerank,10,200,0.7,0.03,0.03,0.24000000000000002,2.0,50,0.0326158940397351,0.016728443952963988,0.1891527253103076,0.2937086092715232,10.157064463143854,37.62213087081909
HybridNCF-Rerank,10,200,0.7,0.03,0.05,0.22000000000000003,2.0,50,0.03228476821192053,0.016752629988849323,0.19131138694009714,0.27695364238410597,10.130546558296073,39.233569383621216
HybridNCF-Rerank,10,200,0.7,0.03,0.08,0.19,2.0,50,0.0326158940397351,0.016955573782083573,0.1923907177549919,0.2513245033112583,10.09283677963012,39.69995927810669
HybridNCF-Rerank,10,200,0.7,0.05,0.0,0.25000000000000006,2.0,50,0.033443708609271525,0.016940408989329407,0.18753372908796545,0.28216887417218545,10.099923209659265,40.219913959503174
HybridNCF-Rerank,10,200,0.7,0.05,0.03,0.22000000000000006,2.0,50,0.03360927152317881,0.017226510163333694,0.1902320561252024,0.257135761589404,10.060212533466638,38.9823842048645
HybridNCF-Rerank,10,200,0.7,0.05,0.05,0.20000000000000007,2.0,50,0.03327814569536424,0.017199555562717076,0.1921208850512682,0.24094370860927153,10.0355872637225,39.45297193527222
HybridNCF-Rerank,10,200,0.7,0.05,0.08,0.17000000000000004,2.0,50,0.03360927152317881,0.0174877840493375,0.19158121964382083,0.21630794701986755,10.001911237557636,41.23530387878418
HybridNCF-Rerank,10,200,0.7,0.08,0.0,0.22000000000000003,2.0,50,0.03493377483443708,0.017834855161821542,0.186184565569347,0.2291225165562914,9.958616364462111,38.9403281211853
HybridNCF-Rerank,10,200,0.7,0.08,0.03,0.19000000000000003,2.0,50,0.0347682119205298,0.0178930686523083,0.1894225580140313,0.20577814569536423,9.9248360798397,39.31995940208435
HybridNCF-Rerank,10,200,0.7,0.08,0.05,0.17000000000000004,2.0,50,0.035099337748344374,0.018002804519034417,0.19131138694009714,0.1900662251655629,9.903194412213393,39.48875069618225
HybridNCF-Rerank,10,200,0.7,0.08,0.08,0.14,2.0,50,0.035099337748344374,0.0181374478993806,0.1929303831624393,0.16586092715231787,9.874966676395946,39.65219449996948
HybridNCF-Rerank,10,200,0.8,0.0,0.0,0.19999999999999996,2.0,50,0.03658940397350993,0.018684488041355612,0.1829465731246627,0.16223509933774835,9.786797540838133,39.5589861869812
HybridNCF-Rerank,10,200,0.8,0.0,0.03,0.16999999999999996,2.0,50,0.0369205298013245,0.01898197217069869,0.18510523475445223,0.14346026490066224,9.767182378976763,40.239407539367676
HybridNCF-Rerank,10,200,0.8,0.0,0.05,0.14999999999999997,2.0,50,0.03791390728476821,0.01928144693225167,0.18537506745817592,0.1307615894039735,9.754899581380457,37.54068732261658
HybridNCF-Rerank,10,200,0.8,0.0,0.08,0.11999999999999995,2.0,50,0.03708609271523179,0.01921335888043652,0.18537506745817592,0.11253311258278145,9.742389543011804,39.48592925071716
HybridNCF-Rerank,10,200,0.8,0.03,0.0,0.16999999999999996,2.0,50,0.03857615894039735,0.01961567052322142,0.1829465731246627,0.12822847682119207,9.703574399460033,39.64697623252869
HybridNCF-Rerank,10,200,0.8,0.03,0.03,0.13999999999999996,2.0,50,0.038741721854304634,0.01978974040390662,0.18402590393955748,0.11109271523178808,9.688807430009179,38.89829921722412
HybridNCF-Rerank,10,200,0.8,0.03,0.05,0.11999999999999995,2.0,50,0.03857615894039735,0.019772032147121903,0.1832164058283864,0.09990066225165563,9.682075472259264,39.233506202697754
HybridNCF-Rerank,10,200,0.8,0.03,0.08,0.08999999999999996,2.0,50,0.0380794701986755,0.019484973999424986,0.1837560712358338,0.08463576158940397,9.67792204742845,39.861311197280884
HybridNCF-Rerank,10,200,0.8,0.05,0.0,0.14999999999999997,2.0,50,0.038741721854304634,0.019731342417896917,0.18213707501349163,0.10887417218543047,9.657010929559895,43.064831256866455
