model,K,topN,w_rel,w_div,w_novel,w_tail,cold_boost,hist_ref,val_Recall,val_NDCG,val_Coverage,val_LongTailShare,val_Novelty,seconds_val
MMGCN-Rerank,10,200,0.7,0.0,0.0,0.30000000000000004,2.0,50,0.06622516556291391,0.03152817280557148,0.40825688073394495,0.223841059602649,9.93321734837592,100.93994188308716
MMGCN-Rerank,10,200,0.7,0.0,0.03,0.27,2.0,50,0.06605960264900662,0.03158372577587201,0.41797085806799783,0.20543046357615893,9.909844186594743,97.4149374961853
MMGCN-Rerank,10,200,0.7,0.0,0.05,0.25000000000000006,2.0,50,0.06655629139072848,0.03210474840245408,0.4214786832164058,0.19334437086092715,9.896549446627787,95.55720853805542
MMGCN-Rerank,10,200,0.7,0.0,0.08,0.22000000000000003,2.0,50,0.06705298013245033,0.03240355798890328,0.4282245008094981,0.1750496688741722,9.877175261551312,101.5893874168396
MMGCN-Rerank,10,200,0.7,0.03,0.0,0.27,2.0,50,0.06539735099337748,0.031753036127156485,0.40825688073394495,0.18644039735099338,9.837927962494478,94.34822583198547
MMGCN-Rerank,10,200,0.7,0.03,0.03,0.24000000000000002,2.0,50,0.06754966887417219,0.03251174752116284,0.41500269832703723,0.1686754966887417,9.817320891918971,67.02635025978088
MMGCN-Rerank,10,200,0.7,0.03,0.05,0.22000000000000003,2.0,50,0.06821192052980132,0.032980133011634605,0.4209390178089584,0.15721854304635763,9.80599808280008,40.194746017456055
MMGCN-Rerank,10,200,0.7,0.03,0.08,0.19,2.0,50,0.06854304635761589,0.033315936536775746,0.4284943335132218,0.1391225165562914,9.79007231196561,41.05914855003357
MMGCN-Rerank,10,200,0.7,0.05,0.0,0.25000000000000006,2.0,50,0.06572847682119205,0.032024310952533566,0.4087965461413923,0.16264900662251655,9.7782934771733,39.615530490875244
MMGCN-Rerank,10,200,0.7,0.05,0.03,0.22000000000000006,2.0,50,0.06705298013245033,0.03263047693231271,0.416082029141932,0.14591059602649006,9.761099143475972,37.32405924797058
MMGCN-Rerank,10,200,0.7,0.05,0.05,0.20000000000000007,2.0,50,0.06887417218543046,0.033359780380130946,0.4201295196977874,0.13428807947019866,9.750005430271461,39.60667395591736
MMGCN-Rerank,10,200,0.7,0.05,0.08,0.17000000000000004,2.0,50,0.06970198675496689,0.033877921549413936,0.4276848354020507,0.11652317880794702,9.735820697868075,38.25880551338196
MMGCN-Rerank,10,200,0.7,0.08,0.0,0.22000000000000003,2.0,50,0.06887417218543046,0.03330935207546453,0.41122504047490555,0.1291887417218543,9.695535045580648,39.57799005508423
MMGCN-Rerank,10,200,0.7,0.08,0.03,0.19000000000000003,2.0,50,0.06937086092715232,0.03378945642033376,0.4171613599568268,0.11258278145695365,9.680704784168034,38.182374477386475
MMGCN-Rerank,10,200,0.7,0.08,0.05,0.17000000000000004,2.0,50,0.07003311258278146,0.03420699777823755,0.41770102536427417,0.10086092715231788,9.670489708065778,36.607924461364746
MMGCN-Rerank,10,200,0.7,0.08,0.08,0.14,2.0,50,0.07218543046357616,0.035218163834551876,0.4139233675121425,0.08513245033112583,9.661525507934744,36.874844551086426
MMGCN-Rerank,10,200,0.8,0.0,0.0,0.19999999999999996,2.0,50,0.07135761589403973,0.034239974873240486,0.3980032379924447,0.08317880794701987,9.584254802993854,36.9930145740509
