model,K,topN,w_rel,w_div,w_novel,w_tail,cold_boost,hist_ref,val_Recall,val_NDCG,val_Coverage,val_LongTailShare,val_Novelty,seconds_val
NGCF-Rerank,10,200,0.7,0.0,0.0,0.30000000000000004,2.0,50,0.05347682119205298,0.025457092752012397,0.5841878035617917,0.4090728476821192,10.660626488156812,43.96849536895752
NGCF-Rerank,10,200,0.7,0.0,0.03,0.27,2.0,50,0.05480132450331126,0.025980808362305794,0.5971397733405289,0.38304635761589406,10.620654264549552,46.06170392036438
NGCF-Rerank,10,200,0.7,0.0,0.05,0.25000000000000006,2.0,50,0.05612582781456953,0.02660388449152359,0.6046950890447922,0.36584437086092714,10.59475036829113,39.76180934906006
NGCF-Rerank,10,200,0.7,0.0,0.08,0.22000000000000003,2.0,50,0.05827814569536424,0.027494639926128887,0.6165677280086347,0.3389072847682119,10.553878090900088,40.35648822784424
NGCF-Rerank,10,200,0.7,0.03,0.0,0.27,2.0,50,0.055794701986754965,0.02693523670918735,0.5863464651915812,0.35549668874172186,10.516982689058535,44.031407594680786
NGCF-Rerank,10,200,0.7,0.03,0.03,0.24000000000000002,2.0,50,0.057947019867549666,0.027810686029202874,0.5971397733405289,0.3293211920529801,10.474178183808744,38.7293598651886
NGCF-Rerank,10,200,0.7,0.03,0.05,0.22000000000000003,2.0,50,0.058774834437086095,0.02828072691055693,0.6036157582298974,0.3112251655629139,10.446833798645214,39.65832996368408
NGCF-Rerank,10,200,0.7,0.03,0.08,0.19,2.0,50,0.06059602649006623,0.028921154895639425,0.6100917431192661,0.28286423841059605,10.407411063205476,43.26818919181824
NGCF-Rerank,10,200,0.7,0.05,0.0,0.25000000000000006,2.0,50,0.05860927152317881,0.028371364476304565,0.5879654614139234,0.3202152317880795,10.420369477902643,40.293336629867554
NGCF-Rerank,10,200,0.7,0.05,0.03,0.22000000000000006,2.0,50,0.05894039735099338,0.0285210817328544,0.5957906098219105,0.2935430463576159,10.378764280263322,39.79084539413452
NGCF-Rerank,10,200,0.7,0.05,0.05,0.20000000000000007,2.0,50,0.06009933774834437,0.029062872884288337,0.5995682676740421,0.27548013245033115,10.35307232560655,39.73575401306152
NGCF-Rerank,10,200,0.7,0.05,0.08,0.17000000000000004,2.0,50,0.06158940397350993,0.029892434026299784,0.6063140852671344,0.24577814569536424,10.311996656883666,40.392279863357544
NGCF-Rerank,10,200,0.7,0.08,0.0,0.22000000000000003,2.0,50,0.060430463576158944,0.029712827186937046,0.5817593092282785,0.2682119205298013,10.282567001348827,39.36909484863281
NGCF-Rerank,10,200,0.7,0.08,0.03,0.19000000000000003,2.0,50,0.06258278145695365,0.030419432393027013,0.5866162978953049,0.2402980132450331,10.240757160696095,43.450414180755615
NGCF-Rerank,10,200,0.7,0.08,0.05,0.17000000000000004,2.0,50,0.06341059602649006,0.031058671712389248,0.5893146249325418,0.22195364238410595,10.217374597176873,39.83345293998718
NGCF-Rerank,10,200,0.7,0.08,0.08,0.14,2.0,50,0.06589403973509934,0.032278957479651316,0.5949811117107393,0.1944701986754967,10.183573838572087,45.48458814620972
NGCF-Rerank,10,200,0.8,0.0,0.0,0.19999999999999996,2.0,50,0.06539735099337748,0.03190086240797982,0.5682676740420939,0.19281456953642384,10.090607629425458,41.21515417098999
NGCF-Rerank,10,200,0.8,0.0,0.03,0.16999999999999996,2.0,50,0.06655629139072848,0.032561951723237205,0.5715056664867783,0.17087748344370862,10.065153466108939,39.98748445510864
NGCF-Rerank,10,200,0.8,0.0,0.05,0.14999999999999997,2.0,50,0.06754966887417219,0.033065984399187794,0.5696168375607124,0.1557615894039735,10.04841173568047,39.95851421356201
NGCF-Rerank,10,200,0.8,0.0,0.08,0.11999999999999995,2.0,50,0.06870860927152318,0.033717138548812954,0.5693470048569886,0.13521523178807948,10.030950378724047,40.05793285369873
NGCF-Rerank,10,200,0.8,0.03,0.0,0.16999999999999996,2.0,50,0.06837748344370861,0.033336618788814276,0.5596330275229358,0.15422185430463575,9.992945073481103,39.31566333770752
NGCF-Rerank,10,200,0.8,0.03,0.03,0.13999999999999996,2.0,50,0.06903973509933775,0.03370411854718718,0.55774419859687,0.13495033112582783,9.975163919129178,40.579872846603394
NGCF-Rerank,10,200,0.8,0.03,0.05,0.11999999999999995,2.0,50,0.06970198675496689,0.034244436791499536,0.5566648677819752,0.12218543046357616,9.965289241582035,42.43496584892273
NGCF-Rerank,10,200,0.8,0.03,0.08,0.08999999999999996,2.0,50,0.0695364238410596,0.034359260748141565,0.5545062061521856,0.10357615894039734,9.955025570651399,40.53225779533386
NGCF-Rerank,10,200,0.8,0.05,0.0,0.14999999999999997,2.0,50,0.06937086092715232,0.03389605202243983,0.5512682137075013,0.13195364238410595,9.936722275521525,45.11616253852844
NGCF-Rerank,10,200,0.8,0.05,0.03,0.11999999999999997,2.0,50,0.07003311258278146,0.03438669077651421,0.5499190501888829,0.1144701986754967,9.924537579739189,41.13266968727112
NGCF-Rerank,10,200,0.8,0.05,0.05,0.09999999999999996,2.0,50,0.0695364238410596,0.034419476347177416,0.5464112250404749,0.1030794701986755,9.919821856327328,39.874788999557495
NGCF-Rerank,10,200,0.8,0.05,0.08,0.06999999999999997,2.0,50,0.07036423841059603,0.03467120538006896,0.5415542363734485,0.0862748344370861,9.914930329004216,40.0683388710022
NGCF-Rerank,10,200,0.8,0.08,0.0,0.11999999999999995,2.0,50,0.06970198675496689,0.03441537877199789,0.5423637344846195,0.10364238410596026,9.867547627369955,40.24888348579407
NGCF-Rerank,10,200,0.8,0.08,0.03,0.08999999999999996,2.0,50,0.0706953642384106,0.034713124439647,0.5326497571505666,0.08764900662251655,9.860266847483015,40.55629754066467
NGCF-Rerank,10,200,0.8,0.08,0.05,0.06999999999999995,2.0,50,0.0706953642384106,0.03493562638716912,0.5267134376686454,0.07768211920529801,9.860416444096098,41.28252673149109
NGCF-Rerank,10,200,0.8,0.08,0.08,0.03999999999999995,2.0,50,0.07086092715231788,0.0349617867088409,0.521046950890448,0.06551324503311258,9.864950627900335,40.797931432724
NGCF-Rerank,10,200,0.85,0.0,0.0,0.15000000000000002,2.0,50,0.07019867549668875,0.034240241035086334,0.5483000539665407,0.12385761589403974,9.920380435540121,40.49093723297119
NGCF-Rerank,10,200,0.85,0.0,0.03,0.12000000000000002,2.0,50,0.07119205298013245,0.0348409720336831,0.5431732325957906,0.10705298013245033,9.908836687982602,42.71533989906311
NGCF-Rerank,10,200,0.85,0.0,0.05,0.10000000000000002,2.0,50,0.07052980132450332,0.0346737812380938,0.5404749055585537,0.09605960264900662,9.903161829434746,40.50010108947754
NGCF-Rerank,10,200,0.85,0.0,0.08,0.07000000000000002,2.0,50,0.07019867549668875,0.03472407873587857,0.5377765785213168,0.08173841059602649,9.901419782949004,40.05922245979309
NGCF-Rerank,10,200,0.85,0.03,0.0,0.12000000000000002,2.0,50,0.07119205298013245,0.034781766847159966,0.5339989206691851,0.09713576158940397,9.854620079044839,40.540509939193726
NGCF-Rerank,10,200,0.85,0.03,0.03,0.09000000000000002,2.0,50,0.07086092715231788,0.034906036095653785,0.5267134376686454,0.08235099337748344,9.848940717662616,89.90956997871399
NGCF-Rerank,10,200,0.85,0.03,0.05,0.07000000000000002,2.0,50,0.0716887417218543,0.035262767724014335,0.5223961144090664,0.07443708609271524,9.850612995562523,99.71223640441895
NGCF-Rerank,10,200,0.85,0.03,0.08,0.04000000000000002,2.0,50,0.07152317880794702,0.035169024615288744,0.5172692930383163,0.06299668874172186,9.856874824962173,95.49119162559509
NGCF-Rerank,10,200,0.85,0.05,0.0,0.10000000000000002,2.0,50,0.0716887417218543,0.035157095203754124,0.52266594711279,0.08188741721854305,9.81815553145835,95.36094069480896
NGCF-Rerank,10,200,0.85,0.05,0.03,0.07000000000000002,2.0,50,0.07119205298013245,0.03514969684806263,0.5153804641122504,0.07019867549668875,9.81891772927778,109.70240831375122
NGCF-Rerank,10,200,0.85,0.05,0.05,0.05000000000000002,2.0,50,0.0716887417218543,0.0351952747323214,0.5126821370750135,0.06263245033112583,9.82305544597252,103.22886848449707
