model,K,topN,w_rel,w_div,w_novel,w_tail,cold_boost,hist_ref,val_Recall,val_NDCG,val_Coverage,val_LongTailShare,val_Novelty,seconds_val
LightGCN-Rerank,10,200,0.7,0.0,0.0,0.30000000000000004,2.0,50,0.0652317880794702,0.031754396802500154,0.40286022665947113,0.20776490066225164,9.878082512385589,41.51062822341919
LightGCN-Rerank,10,200,0.7,0.0,0.03,0.27,2.0,50,0.06788079470198675,0.032602031735718295,0.41068537506745817,0.19084437086092715,9.858444140346622,40.98152256011963
LightGCN-Rerank,10,200,0.7,0.0,0.05,0.25000000000000006,2.0,50,0.06887417218543046,0.03290015307603419,0.41662169454937936,0.17978476821192052,9.847555468751917,41.543607234954834
LightGCN-Rerank,10,200,0.7,0.0,0.08,0.22000000000000003,2.0,50,0.07052980132450332,0.033475552792418393,0.4225580140313006,0.16243377483443708,9.831960943874599,40.99729108810425
LightGCN-Rerank,10,200,0.7,0.03,0.0,0.27,2.0,50,0.06837748344370861,0.03293265692619667,0.40555855369670807,0.17341059602649006,9.792324660556101,40.05827498435974
LightGCN-Rerank,10,200,0.7,0.03,0.03,0.24000000000000002,2.0,50,0.0695364238410596,0.03332773131316954,0.4087965461413923,0.15683774834437086,9.77512844636388,41.77673268318176
LightGCN-Rerank,10,200,0.7,0.03,0.05,0.22000000000000003,2.0,50,0.07019867549668875,0.03365079365742287,0.4117647058823529,0.14627483443708608,9.765988642759492,39.97771763801575
LightGCN-Rerank,10,200,0.7,0.03,0.08,0.19,2.0,50,0.07201986754966887,0.03449730632205949,0.41662169454937936,0.12968543046357617,9.753893777162242,40.892465353012085
LightGCN-Rerank,10,200,0.7,0.05,0.0,0.25000000000000006,2.0,50,0.06970198675496689,0.03345365069493508,0.4033998920669185,0.1521523178807947,9.740405583706126,40.4419629573822
LightGCN-Rerank,10,200,0.7,0.05,0.03,0.22000000000000006,2.0,50,0.0695364238410596,0.03364062686700219,0.40555855369670807,0.13586092715231787,9.725205261822456,38.96516394615173
LightGCN-Rerank,10,200,0.7,0.05,0.05,0.20000000000000007,2.0,50,0.07019867549668875,0.033933018665562246,0.4101457096600108,0.12498344370860927,9.716195688865573,40.996816635131836
LightGCN-Rerank,10,200,0.7,0.05,0.08,0.17000000000000004,2.0,50,0.07268211920529802,0.03477756168275341,0.41446303291958986,0.10885761589403974,9.705228257968471,41.011435985565186
LightGCN-Rerank,10,200,0.7,0.08,0.0,0.22000000000000003,2.0,50,0.07019867549668875,0.03400561039537706,0.401241230437129,0.12062913907284768,9.664302753457001,49.50348711013794
LightGCN-Rerank,10,200,0.7,0.08,0.03,0.19000000000000003,2.0,50,0.07135761589403973,0.03448512903368125,0.40528872099298435,0.10543046357615894,9.65261229471841,101.49733781814575
LightGCN-Rerank,10,200,0.7,0.08,0.05,0.17000000000000004,2.0,50,0.07218543046357616,0.03474483445619507,0.40528872099298435,0.09495033112582782,9.646073326260684,106.4767746925354
LightGCN-Rerank,10,200,0.7,0.08,0.08,0.14,2.0,50,0.07301324503311259,0.03500831996928442,0.4071775499190502,0.08016556291390728,9.63958869026344,110.05817770957947
LightGCN-Rerank,10,200,0.8,0.0,0.0,0.19999999999999996,2.0,50,0.07185430463576159,0.03465557526480927,0.39152725310307607,0.07943708609271523,9.567080665746625,102.1979432106018
LightGCN-Rerank,10,200,0.8,0.0,0.03,0.16999999999999996,2.0,50,0.07317880794701986,0.035131573997529565,0.3912574203993524,0.06690397350993378,9.560864866403627,89.15227365493774
LightGCN-Rerank,10,200,0.8,0.0,0.05,0.14999999999999997,2.0,50,0.07400662251655629,0.0353910243493817,0.38936859147328656,0.05932119205298013,9.558703826560535,108.31574082374573
LightGCN-Rerank,10,200,0.8,0.0,0.08,0.11999999999999995,2.0,50,0.073841059602649,0.03532626645668637,0.3880194279546681,0.04900662251655629,9.561305070167375,65.95594263076782
LightGCN-Rerank,10,200,0.8,0.03,0.0,0.16999999999999996,2.0,50,0.07301324503311259,0.03518251433448362,0.3845116028062601,0.05857615894039735,9.518126611122812,37.44569778442383
LightGCN-Rerank,10,200,0.8,0.03,0.03,0.13999999999999996,2.0,50,0.07367549668874172,0.035393537151236255,0.38370210469508903,0.04880794701986755,9.519668165172442,50.44753575325012
